year,park,visits
2011,Saguaro National Park,610045
2011,Sequoia National Park,1006583
2011,Shenandoah National Park,1209883
2011,Theodore Roosevelt National Park,563407
2011,Virgin Islands National Park,442414
2011,Voyageurs National Park,177184
2011,White Sands National Park,428924
2011,Wind Cave National Park,538394
2011,Wrangell-St. Elias National Park & Preserve,65225
2011,Yellowstone National Park,3394326
2011,Yosemite National Park,3951393
2011,Zion National Park,2825505
2012,Acadia National Park,2431052
2012,Arches National Park,1070577
2012,Badlands National Park,883406
2012,Big Bend National Park,292055
2012,Biscayne National Park,495613
2012,Black Canyon of the Gunnison National Park,192570
2012,Bryce Canyon National Park,1385352
2012,Canyonlands National Park,452952
2012,Capitol Reef National Park,673345
2012,Carlsbad Caverns National Park,381058
2012,Channel Islands National Park,249594
2012,Congaree National Park,109685
2012,Crater Lake National Park,447251
2012,Cuyahoga Valley National Park,2299722
2012,Death Valley National Park,984568
2012,Denali National Park & Preserve,388433
2012,Dry Tortugas National Park,60550
2012,Everglades National Park,1141906
2012,Gates of the Arctic National Park & Preserve,10899
2012,Gateway Arch National Park,2496726
2012,Glacier Bay National Park & Preserve,454337
2012,Glacier National Park,2162035
2012,Grand Canyon National Park,4421352
2012,Grand Teton National Park,2705256
2012,Great Basin National Park,94850
2012,Great Sand Dunes National Park & Preserve,254674
2012,Great Smoky Mountains National Park,9685829
2012,Guadalupe Mountains National Park,159360
2012,Haleakala National Park,1094668
2012,Hawaii Volcanoes National Park,1483928
2012,Hot Springs National Park,1302505
2012,Indiana Dunes National Park,1889381
2012,Isle Royale National Park,16663
2012,Joshua Tree National Park,1396117
2012,Katmai National Park & Preserve,39818
2012,Kenai Fjords National Park,281279
2012,Kings Canyon National Park,591033
2012,Kobuk Valley National Park,29550
2012,Lake Clark National Park & Preserve,11639
2012,Lassen Volcanic National Park,407653
2012,Mammoth Cave National Park,508054
2012,Mesa Verde National Park,488860
2012,Mount Rainier National Park,1049178
2012,New River Gorge National Park & Preserve,1128195
2012,North Cascades National Park,26935
2012,Olympic National Park,2824908
2012,Petrified Forest National Park,664857
